PID,Benchmark,WCET,Period,Deadline,Criticality,TempSens,LoadSens,Energy,Predecessors
T1,MiBench,33.66,288.75,45.39,High,1.08,1.39,63.28,
T2,MiBench,10.78,200.83,166.28,Low,1.43,1.0,16.6,T1
T3,TACLeBench,0.33,86.83,60.49,High,0.96,1.05,0.27,T2
T4,PapaBench,4.93,227.85,54.74,High,1.22,1.35,3.7,T3
T5,EEMBC,13.07,185.21,92.92,High,1.03,1.06,29.28,T4
T6,TACLeBench,5.1,123.24,71.58,High,1.29,1.01,5.3,T5
T7,Malardalen,0.61,56.21,20.46,High,1.27,0.94,0.39,T6
T8,Malardalen,1.85,24.39,11.86,High,1.21,1.39,1.41,T7
T9,Malardalen,0.51,41.51,5.41,High,1.21,1.1,0.44,T8
T10,TACLeBench,0.87,57.16,53.32,High,1.25,1.24,0.97,T9
T11,TACLeBench,7.25,179.81,67.43,Low,1.45,0.87,6.31,T9
T12,TACLeBench,15.1,86.36,52.55,Low,1.29,0.93,14.65,T11
T13,EEMBC,12.82,244.38,88.89,Low,1.41,1.18,29.49,T12
T14,PapaBench,4.01,161.91,58.17,High,0.98,1.26,2.97,T13
T15,Malardalen,1.58,45.66,8.1,High,0.9,1.02,0.93,T14
T16,TACLeBench,15.72,139.89,139.21,High,1.44,1.25,22.48,T15
T17,EEMBC,2.07,102.0,66.74,Low,1.32,0.86,4.0,T16
T18,MiBench,20.84,274.56,160.31,Low,1.24,0.83,40.85,T17
T19,MiBench,6.79,461.17,60.31,Low,1.01,0.92,9.51,T18
T20,EEMBC,10.65,137.36,40.76,High,1.3,0.99,21.09,T19
T21,PapaBench,2.5,204.65,31.32,High,1.46,1.04,2.15,T4
T22,Malardalen,0.96,73.7,26.66,High,1.32,1.3,0.52,T21
T23,EEMBC,13.6,280.85,207.9,Low,1.06,0.83,19.31,T22
T24,EEMBC,7.01,239.7,171.33,High,1.3,1.16,11.85,T23
T25,PapaBench,0.54,170.52,44.34,High,1.26,0.95,0.61,T24
T26,MiBench,45.49,108.64,70.65,Low,1.38,1.19,65.51,T25
T27,Malardalen,0.59,65.41,55.76,High,0.83,1.09,0.31,T26
T28,EEMBC,5.68,284.33,144.72,Low,0.9,0.84,12.5,T27
T29,EEMBC,9.53,282.96,280.85,Low,1.43,1.01,21.92,T28
T30,Malardalen,1.5,88.75,27.98,High,1.45,0.83,1.46,T29
T31,EEMBC,6.45,152.37,136.15,High,1.03,0.89,12.58,T21
T32,TACLeBench,13.64,189.26,138.92,Low,1.23,1.06,17.6,T31
T33,EEMBC,28.01,277.28,48.61,High,1.3,0.86,35.85,T32
T34,TACLeBench,6.57,170.8,97.18,Low,1.42,1.02,8.21,T33
T35,EEMBC,2.51,193.83,71.05,High,1.27,1.14,5.15,T34
T36,PapaBench,1.28,198.35,106.05,Low,1.27,1.14,1.43,T35
T37,EEMBC,3.8,144.2,139.61,Low,1.09,1.24,5.17,T36
T38,PapaBench,4.05,32.14,21.68,High,1.05,1.11,4.62,T37
T39,MiBench,15.71,142.86,24.17,High,1.17,1.33,19.48,T38
T40,EEMBC,12.62,84.41,54.22,Low,0.98,0.96,29.15,T39
T41,EEMBC,28.26,149.18,84.04,High,0.91,1.17,46.06,T21
T42,Malardalen,1.36,47.38,33.97,High,1.13,0.88,1.16,T41
T43,EEMBC,18.61,234.87,215.14,High,1.21,1.08,36.48,T42
T44,EEMBC,4.16,298.71,60.69,Low,1.48,1.16,5.32,T43
T45,TACLeBench,4.15,85.4,15.62,High,0.84,0.97,4.86,T44
T46,PapaBench,0.86,56.48,23.12,Low,0.91,0.8,0.91,T45
T47,EEMBC,1.7,197.88,20.12,Low,1.49,1.36,3.45,T46
T48,MiBench,18.28,252.22,232.61,Low,1.39,0.83,24.5,T47
T49,EEMBC,24.76,286.18,49.19,High,1.09,1.21,51.75,T48
T50,EEMBC,8.21,297.96,243.37,High,1.26,1.2,19.29,T49
T51,EEMBC,14.23,278.75,83.77,High,1.16,1.15,31.16,T5
T52,Malardalen,0.7,71.79,6.53,High,1.23,1.3,0.45,T51
